track_id,name,artists,album,release_date,duration_ms,explicit,popularity,release_year,duration_min,categoria_duracao
1fBXSMOusjaj7GjzErHmUI,Loco Contigo,"DJ Snake, J Balvin, Tyga",Carte Blanche,2019-07-25,185194,False,37,2019,3.0865666666666667,média
7KqeDL2CLfxSKSxtofrWOI,Cara Feio - Ao Vivo,Fernando & Sorocaba,Cara Feio (Ao Vivo),2019-07-19,164057,False,32,2019,2.7342833333333334,curta
6ucmgsair6pvRYfwgvI6e0,"SPIRIT - From Disney's ""The Lion King""",Beyoncé,The Lion King: The Gift,2019-07-19,277030,False,48,2019,4.617166666666667,longa
6hrV6KYL9zM8vFAbOSxFHY,Também Sei Fazer Falta - Ao Vivo,Israel & Rodolffo,Conselho (ao Vivo),2019-07-12,156838,False,48,2019,2.6139666666666668,curta
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,Cuz I Love You (Deluxe),2019-05-03,173325,True,58,2019,2.88875,curta
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,How Do You Sleep?,2019-07-19,202204,False,70,2019,3.3700666666666668,média
4k20Ie47EcWtS4wMBn8w8S,Invocada (Participação especial de Léo Santana) - Ao vivo,"LUDMILLA, Léo Santana",Hello mundo (Ao vivo),2019-05-31,157494,False,55,2019,2.6249,curta
5GHA824FwkHeBl5u1T6kLj,Namorada Reserva - Ao Vivo,Hugo & Guilherme,No Pelo Em Campo Grande (ao Vivo),2018-12-07,176575,False,54,2018,2.9429166666666666,curta
3Uq45ipGutypFPmETfaoaH,Gaiola É o Troco,"MC Du Black, DJ 2F",Gaiola É o Troco,2019-06-07,187245,True,71,2019,3.12075,média
41GMwa6sCB3iA2aS5T30iE,Trip do Boyzinho,Boyzinho o Rei da Bregadeira,Trip do Boyzinho,2019-04-02,169903,False,45,2019,2.831716666666667,curta
5dKesZwp6deuhEeW8F1UEi,Hit Contagiante,"Felipe Original, MC Kevin o Chris, Sodré, JS o Mão de Ouro",Hit Contagiante,2019-07-26,137125,False,60,2019,2.285416666666667,curta
5GsJcnO3rgpZFOrzL2EISO,Flash Pose,"Pabllo Vittar, Charli xcx",Flash Pose,2019-07-26,152932,False,43,2019,2.5488666666666666,curta
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,2019-07-25,185194,False,78,2019,3.0865666666666667,média
6woeVu3fVMflqen1t4N6pg,Old Town Road (feat. RM of BTS) - Seoul Town Road Remix,"Lil Nas X, RM, BTS",Old Town Road (feat. RM of BTS) [Seoul Town Road Remix],2019-07-24,114133,False,60,2019,1.9022166666666667,muito curta
709F4UQ2uKplKvcD88xffa,Nave Espacial - Radio Edit,"Liu, Samantha Machado",Nave Espacial,2018-12-07,185341,False,63,2018,3.0890166666666667,média
3Y7MHz19qCg1Pkxridtu1k,The Archer,Taylor Swift,The Archer,2019-07-23,211280,False,3,2019,3.521333333333333,média
660eekzsNZ7sdATvfIsAkR,"Fuego (with Sean Paul & Anitta, feat. Tainy)","DJ Snake, Sean Paul, Anitta, Tainy",Carte Blanche,2019-07-25,195428,False,57,2019,3.2571333333333334,média
76A0QqpRJQwn3NCqqlNlqi,Volta Vai (feat. Simone & Simaria) - Ao Vivo,"Avine Vinny, Simone & Simaria",Volta Vai (feat. Simone & Simaria) [Ao Vivo],2019-08-02,203494,False,26,2019,3.391566666666667,média
59WWulo1LM0njpIkcduCMn,Tão Linda,Atitude 67,Casa 67,2019-07-05,147843,False,61,2019,2.46405,curta
2qiqXQ2Suc253bR7k9AKVD,Baile da Colômbia (Brega Funk) - Remix,"MC Ysa, DJ 2F, DJ Anderson França, MK no Beat",Baile da Colômbia (Brega Funk) [Remix],2019-05-08,124000,True,50,2019,2.066666666666667,curta
11Y1IGMIThaxu4ijcXRNYs,Nem de Graça,Pixote,Nem de Graça,2018-06-12,172202,False,71,2018,2.870033333333333,curta
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,2019-08-02,186106,True,81,2019,3.101766666666667,média
2ksOAxtIxY8yElEWw8RhgK,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,2019-07-19,301714,False,76,2019,5.028566666666666,longa
4NmE2ytXI8S2svTRSmEdpO,Small Talk,Katy Perry,Small Talk,2019-08-09,161962,False,53,2019,2.6993666666666667,curta
5JlaPIRxVrZ6ZjJ8IZzSEk,"Malokera (feat. Ludmilla, Ty Dolla $ign)","MC Lan, Skrillex, TroyBoi, LUDMILLA, Ty Dolla $ign","Malokera (feat. Ludmilla, Ty Dolla $ign)",2019-08-09,194198,True,42,2019,3.2366333333333333,média
3vSXPjfcebTt5mB8DXHWM6,Dois Lados,Wesley Safadão,Dois Lados,2019-08-09,147187,False,0,2019,2.453116666666667,curta
4vKxWENeZqTDREw1ij7Oen,Medalha de Prata (feat. Maiara & Maraisa) - Ao Vivo,"Zé Felipe, Maiara & Maraisa","Zé Felipe, Vol. 2 (ao Vivo)",2019-08-09,160495,False,42,2019,2.674916666666667,curta
0rIAC4PXANcKmitJfoqmVm,Motivation,Normani,Motivation,2019-08-16,193837,False,68,2019,3.2306166666666667,média
6Diq6oBnDVzsrNcRllXRbM,Maldita de Ex,Mc Leozin,Maldita de Ex,2019-06-27,164257,True,65,2019,2.737616666666667,curta
34D0w6kVzuQ35vyHIFrWTC,Do jeito que tu gosta,"Pk, LUDMILLA",ImPKvel,2019-08-16,143245,False,47,2019,2.3874166666666667,curta
1uryupl9hqVZYurJwH4G9k,3 Batidas - Ao Vivo,Guilherme & Benuto,3 Batidas (Ao Vivo),2019-08-16,157186,False,0,2019,2.6197666666666666,curta
44ADyYoY5liaRa3EOAl4uf,Slide Away,Miley Cyrus,Slide Away,2019-08-16,233654,False,2,2019,3.894233333333333,média
4mkagJJ8AM1hzeyrgAJc3x,Te Amo Sem Compromisso,MC Doni,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),2019-08-16,132923,False,0,2019,2.2153833333333335,curta
0BNGeZfk8vEB5uXM6z8MBy,Abandono de Incapaz - Ao Vivo,Marília Mendonça,"Todos Os Cantos, Vol. 3 (Ao Vivo)",2019-08-16,159498,False,47,2019,2.6583,curta
0bzbvANY6oETSJLc0wlVGY,Lover,Taylor Swift,Lover,2019-08-16,221306,False,12,2019,3.6884333333333332,média
5G3NKZf1Gqs7dQnY4Miliy,Olha Pro Oclin,Sidoka,Doka Language,2019-07-11,221490,True,0,2019,3.6915,média
3GmJxfnUDrIs1iCfKUELFz,Supera - Ao Vivo,Marília Mendonça,"Todos Os Cantos, Vol. 3 (Ao Vivo)",2019-08-16,147748,False,72,2019,2.462466666666667,curta
3GRYbb9KX2iGeLMur4FUVs,Little Square UBitchU (feat. Anitta),"Snoop Dogg, Anitta",I Wanna Thank Me,2019-08-16,134928,True,37,2019,2.2488,curta
