track_id,name,artists,album,release_date,duration_ms,explicit,popularity,preview_url,spotify_url
1JHvLQWHUoYuapwQikeDuD,Ele Não Tem,"Jonas Esticado, Gusttavo Lima",Ele Não Tem,2020-10-16,212192,False,49,,https://open.spotify.com/track/1JHvLQWHUoYuapwQikeDuD
0WlmiIK5qFQ4dAB4mCA4sI,Amor da Despedida,"Os Barões Da Pisadinha, Fernando & Sorocaba",Amor da Despedida,2020-11-06,169773,False,56,,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
16uUeKOV7m51Vlx9oUIEvE,Separei,"MC WM, Niack, MC's Jhowzinho & Kadinho",Separei,2020-09-25,162406,False,51,,https://open.spotify.com/track/16uUeKOV7m51Vlx9oUIEvE
0xcdw2bWgJ4lrt3qZJrZ1o,Perdição,L7NNON,Hip Hop Rare,2020-11-19,275000,False,70,,https://open.spotify.com/track/0xcdw2bWgJ4lrt3qZJrZ1o
5gijVJHyC1E4kt2j5Q3DEb,Sua Mãe Tá Nessa - Ao Vivo Em São Paulo / 2019,Lauana Prado,Livre (Ao Vivo / Vol. 3),2020-11-13,164544,False,0,,https://open.spotify.com/track/5gijVJHyC1E4kt2j5Q3DEb
6juD9PQwAPvuXYIAE2gjhO,Volta por Baixo - Ao Vivo,Henrique & Juliano,Ao Vivo no Ibirapuera,2020-05-15,192632,False,0,,https://open.spotify.com/track/6juD9PQwAPvuXYIAE2gjhO
5TU6HG6Ltm7ZYr3r5dZjsA,Eu Tenho Medo,Zé Vaqueiro,O Original,2020-10-01,216835,False,0,,https://open.spotify.com/track/5TU6HG6Ltm7ZYr3r5dZjsA
4G02O6Qd846OFww8HHQamh,Escorpião,"Xamã, Agnes Nunes, Neo Beats, Bagua Records",Escorpião,2020-11-12,208965,True,43,,https://open.spotify.com/track/4G02O6Qd846OFww8HHQamh
4fB85IhVASxXMWgoke5WVJ,Alive (It Feels Like),Alok,Alive (It Feels Like),2020-09-11,142500,False,49,,https://open.spotify.com/track/4fB85IhVASxXMWgoke5WVJ
3Xuo5utyzk86BwlUHdTR2O,Briga Feia - Ao Vivo,Henrique & Juliano,Ao Vivo no Ibirapuera,2020-05-15,194580,False,0,,https://open.spotify.com/track/3Xuo5utyzk86BwlUHdTR2O
767WBxhrD8kRfJ4cYZQO9G,Confidencial,Wesley Safadão,Safadão Amplificado,2020-11-12,171379,False,0,,https://open.spotify.com/track/767WBxhrD8kRfJ4cYZQO9G
6WXglvTFRmjlHHhgjYMNif,Ilusão (Cracolândia),"MC Hariel, Alok, Djay W, Mc Davi, MC Ryan SP, Salvador Da Rima",Ilusão (Cracolândia),2020-11-13,324000,False,63,,https://open.spotify.com/track/6WXglvTFRmjlHHhgjYMNif
2R1OgezGfBMeiAcMpJ1EkH,Letícia,Zé Vaqueiro,O Original,2020-10-01,167683,False,0,,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
3vu864xi5Xis9VfOsJpmXu,Rainha da Favela,LUDMILLA,Rainha da Favela,2020-11-12,160904,False,56,,https://open.spotify.com/track/3vu864xi5Xis9VfOsJpmXu
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,Therefore I Am,2020-11-12,174321,False,73,,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
7GLWWrk1YlkPYqJK3ynIA0,Lance Individual,Jorge & Mateus,Lance Individual,2020-11-13,164458,False,51,,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
7EWXP47VlXKO3r7mNxuWHw,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",Safadão Amplificado,2020-11-12,155209,False,0,,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
6qFTfWG7Hz3q9HxRpNVJo1,Se Eu Fosse Você - Ao Vivo,Henrique & Juliano,Ao Vivo no Ibirapuera,2020-05-15,210461,False,0,,https://open.spotify.com/track/6qFTfWG7Hz3q9HxRpNVJo1
07c9lzwx1IIm101PnB4BZu,É Só Botada,"MC Levin, Caverinha",É Só Botada,2020-08-26,145846,False,0,,https://open.spotify.com/track/07c9lzwx1IIm101PnB4BZu
5J1xChbEwiI3q371r7mDOg,Os Mandrake Curte a Vida,"MC Paulin da Capital, MC Ryan SP",Os Mandrake Curte a Vida,2020-09-25,256000,True,57,,https://open.spotify.com/track/5J1xChbEwiI3q371r7mDOg
5gTgQBtNP08fUijxpEgmzF,É Problema,Matheus & Kauan,É Problema,2020-11-12,184149,False,60,,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,203064,False,84,,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
4Y0gR2tYML083T6b2vhJrn,Liberdade Provisória - Ao Vivo,Henrique & Juliano,Ao Vivo no Ibirapuera,2020-05-15,187985,False,0,,https://open.spotify.com/track/4Y0gR2tYML083T6b2vhJrn
0V4ZIBLOxq85pFQATKtItp,Despedida De Casal,Gustavo Mioto,Despedida De Casal,2020-11-19,180576,False,65,,https://open.spotify.com/track/0V4ZIBLOxq85pFQATKtItp
3gY2oyydautEwY7SsQeF4Q,Tá Faltando Eu,Luan Estilizado,Tá Faltando Eu,2020-11-20,148284,False,42,,https://open.spotify.com/track/3gY2oyydautEwY7SsQeF4Q
